OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,TYPE,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,ST_FIPS,OWNER,BEDS,TRAUMA,HELIPAD
12,38593901,SALINAS VALLEY MEMORIAL HOSPITAL,450 EAST ROMIE LANE,SALINAS,CA,93901,GENERAL ACUTE CARE,269,MONTEREY,6053,USA,36.65903046,-121.6459838,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY/OTHER,2014-02-10T00:00:00.000Z,http://www.svmh.com,6,GOVERNMENT - DISTRICT/AUTHORITY,269,NOT AVAILABLE,N
14,15992866,HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,"393 S, TUSTIN STREET",ORANGE,CA,92866,CHILDREN,27,ORANGE,6059,USA,33.78272717,-117.8338919,622110,"CHILDREN'S HOSPITALS, GENERAL",http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY/OTHER,2014-02-10T00:00:00.000Z,http://www.HealthBridgeOrange.com,6,PROPRIETARY,27,NOT AVAILABLE,N
15,16192680,HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,14851 YORBA STREET,TUSTIN,CA,92680,GENERAL ACUTE CARE,48,ORANGE,6059,USA,33.74746074,-117.8310556,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY/OTHER,2014-02-10T00:00:00.000Z,http://www.tustinrehab.com,6,PROPRIETARY,48,NOT AVAILABLE,N
16,23792621,KINDRED HOSPITAL BREA,875 NORTH BREA BOULEVARD,BREA,CA,92621,GENERAL ACUTE CARE,86,ORANGE,6059,USA,33.93449589,-117.8939488,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY/OTHER,2014-02-10T00:00:00.000Z,http://www.kindredhospitalbrea.com/,6,PROPRIETARY,86,NOT AVAILABLE,N
17,24392683,KINDRED HOSPITAL WESTMINSTER,200 HOSPITAL CIRCLE,WESTMINSTER,CA,92683,GENERAL ACUTE CARE,109,ORANGE,6059,USA,33.76353321,-117.995256,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY/OTHER,2014-02-10T00:00:00.000Z,http://www.khwestminster.com/,6,PROPRIETARY,109,NOT AVAILABLE,N
18,22093277,KAWEAH DELTA  MENTAL HEALTH HOSPITAL D/P APH,1100 SO. AKERS STREET,VISALIA,CA,93277,GENERAL ACUTE CARE,63,TULARE,6107,USA,36.32084395,-119.3482345,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY/OTHER,2014-02-10T00:00:00.000Z,http://www.kaweahdelta.org,6,GOVERNMENT - DISTRICT/AUTHORITY,63,NOT AVAILABLE,N
21,5870563,DAUTERIVE HOSPITAL,600 N LEWIS AVE.,NEW IBERIA,LA,70563,GENERAL ACUTE CARE,103,IBERIA,22045,USA,30.00690698,-91.79452385,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2018-08-16T00:00:00.000Z,IMAGERY/OTHER,2014-02-10T00:00:00.000Z,http://www.dauterivehospital.com,22,PROPRIETARY,103,NOT AVAILABLE,Y
22,2070364,COMPASS BEHAVIORAL CENTER OF HOUMA,4701 W PARK AVE,HOUMA,LA,70364,PSYCHIATRIC,,TERREBONNE,22109,USA,29.62086075,-90.74930615,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2018-08-16T00:00:00.000Z,IMAGERY/OTHER,2014-02-10T00:00:00.000Z,http://www.compasshealthcare.com/site83.php,22,PROPRIETARY,,NOT AVAILABLE,N
23,4671360,CENTRAL LOUISIANA STATE HOSPITAL,242 W SHAMROCK AVE,PINEVILLE,LA,71360,PSYCHIATRIC,128,RAPIDES,22079,USA,31.32737894,-92.44013511,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2018-08-16T00:00:00.000Z,IMAGERY/OTHER,2014-02-10T00:00:00.000Z,http://www.dhh.la.gov/omh/inpatient-serv/clsh.htm,22,GOVERNMENT - STATE,128,NOT AVAILABLE,N
24,15671222,REEVES MEMORIAL MEDICAL CENTER,409 1ST ST,BERNICE,LA,71222,GENERAL ACUTE CARE,11,UNION,22111,USA,32.82399167,-92.65664868,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2018-08-16T00:00:00.000Z,IMAGERY/OTHER,2013-10-08T00:00:00.000Z,http://reevesmemorial.com/,22,GOVERNMENT - DISTRICT/AUTHORITY,11,NOT AVAILABLE,Y
25,16971241,SERENITY SPRINGS SPECIALTY HOSPITAL,309 N MAIN ST,FARMERVILLE,LA,71241,PSYCHIATRIC,18,UNION,22111,USA,32.77612793,-92.40562585,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2018-08-16T00:00:00.000Z,IMAGERY/OTHER,2017-12-15T00:00:00.000Z,http://www.serenityhospital.com,22,PROPRIETARY,18,NOT AVAILABLE,N
26,15371373,PROMISE HOSPITAL OF MISS-LOU,209 FRONT ST.,VIDALIA,LA,71373,LONG TERM CARE,40,CONCORDIA,22029,USA,31.56117486,-91.42606698,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2018-08-16T00:00:00.000Z,IMAGERY/OTHER,2014-02-10T00:00:00.000Z,http://www.promise-misslou.com,22,PROPRIETARY,40,NOT AVAILABLE,N
27,5371418,CITIZENS MEDICAL CENTER,7939 HIGHWAY 165,COLUMBIA,LA,71418,GENERAL ACUTE CARE,40,CALDWELL,22021,USA,32.06003995,-92.09913767,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2018-08-16T00:00:00.000Z,IMAGERY/OTHER,2014-02-11T00:00:00.000Z,NOT AVAILABLE,22,GOVERNMENT - DISTRICT/AUTHORITY,40,NOT AVAILABLE,Y
30,2054311,BROWN CTY COMMUNITY TREATMENT CENTER,3150 GERSHWIN DRIVE,GREEN BAY,WI,54311,PSYCHIATRIC,16,BROWN,55009,USA,44.52271226,-87.92482708,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://www.dhs.wisconsin.gov/guide/hospital.htm,2018-08-13T00:00:00.000Z,IMAGERY/OTHER,2014-02-10T00:00:00.000Z,http://www.co.brown.wi.us/,55,GOVERNMENT - LOCAL,16,NOT AVAILABLE,N
31,70990806,COLLEGE MEDICAL CENTER,2776 PACIFIC AVENUE,LONG BEACH,CA,90806,GENERAL ACUTE CARE,121,LOS ANGELES,6037,USA,33.80709287,-118.1933899,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY/OTHER,2015-01-13T00:00:00.000Z,http://www.collegemedicalcenter.com,6,PROPRIETARY,121,NOT AVAILABLE,N
32,71794577,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2500 MERCED STREET,SAN LEANDRO,CA,94577,GENERAL ACUTE CARE,216,ALAMEDA,6001,USA,37.7064062,-122.1646545,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY/OTHER,2015-01-14T00:00:00.000Z,http://www.kaiserpermanente.org,6,NOT AVAILABLE,216,NOT AVAILABLE,N
33,72590723,PROMISE HOSPITAL OF EAST LOS ANGELES-SUBURBAN CAMPUS,16453 SOUTH COLORADO AVENUE,PARAMOUNT,CA,90723,LONG TERM CARE,177,LOS ANGELES,6037,USA,33.88463186,-118.1622671,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY/OTHER,2015-01-14T00:00:00.000Z,http://www.promiseeastla.com/,6,PROPRIETARY,177,NOT AVAILABLE,N
34,73790650,DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,11401 BLOOMFIELD AVENUE,NORWALK,CA,90650,PSYCHIATRIC,1265,LOS ANGELES,6037,USA,33.92803135,-118.0679897,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY/OTHER,2015-01-16T00:00:00.000Z,http://www.dsh.ca.gov/metropolitan/default.asp,6,GOVERNMENT - STATE,1265,NOT AVAILABLE,N
35,74592592,TEMECULA VALLEY HOSPITAL,31700 TEMECULA PKWY,TEMECULA,CA,92592,GENERAL ACUTE CARE,140,RIVERSIDE,6065,USA,33.48046447,-117.1059546,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY/OTHER,2015-01-16T00:00:00.000Z,NOT AVAILABLE,6,NOT AVAILABLE,140,NOT AVAILABLE,N
36,85531419,ST JOSEPH'S HOSPITAL - SAVANNAH,11705 MERCY BOULEVARD,SAVANNAH,GA,31419,GENERAL ACUTE CARE,,CHATHAM,13051,USA,31.98543032,-81.15455637,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.gamap2care.info/,2018-08-09T00:00:00.000Z,IMAGERY/OTHER,2015-03-05T00:00:00.000Z,NOT AVAILABLE,13,NON-PROFIT,294,NOT AVAILABLE,Y
37,86630165,KINDRED HOSPITAL ROME,320 TURNER MCCALL BOULEVARD,ROME,GA,30165,LONG TERM CARE,45,FLOYD,13115,USA,34.25971345,-85.18023963,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://www.gamap2care.info/,2018-08-09T00:00:00.000Z,IMAGERY/OTHER,2015-03-05T00:00:00.000Z,NOT AVAILABLE,13,NOT AVAILABLE,45,NOT AVAILABLE,N
38,87130286,UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,THOMASTON,GA,30286,GENERAL ACUTE CARE,115,UPSON,13293,USA,32.8862977,-84.33650699,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.gamap2care.info/,2018-08-09T00:00:00.000Z,IMAGERY/OTHER,2015-03-05T00:00:00.000Z,NOT AVAILABLE,13,NOT AVAILABLE,115,NOT AVAILABLE,N
39,87531719,PHOEBE SUMTER MEDICAL CENTER,126 HIGHWAY 280 W,AMERICUS,GA,31719,GENERAL ACUTE CARE,76,SUMTER,13261,USA,32.06696234,-84.2560502,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.gamap2care.info/,2018-08-09T00:00:00.000Z,IMAGERY/OTHER,2015-03-09T00:00:00.000Z,http://www.phoebeputney.com/PhoebeContentPage.aspx?nd=1479,13,NOT AVAILABLE,76,NOT AVAILABLE,Y
40,87931830,ROOSEVELT WARM SPRINGS LTAC HOSPITAL,6135 ROOSEVELT HIGHWAY,WARM SPRINGS,GA,31830,LONG TERM CARE,32,MERIWETHER,13199,USA,32.88798074,-84.6923449,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://www.gamap2care.info/,2018-08-09T00:00:00.000Z,IMAGERY/OTHER,2015-03-09T00:00:00.000Z,NOT AVAILABLE,13,NOT AVAILABLE,32,NOT AVAILABLE,N
41,90030265,SOUTHEASTERN REGIONAL MEDICAL CENTER,600 CELEBRATE LIFE PKWY,NEWNAN,GA,30265,GENERAL ACUTE CARE,25,COWETA,13077,USA,33.38483465,-84.75774669,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.gamap2care.info/,2018-08-09T00:00:00.000Z,IMAGERY/OTHER,2015-03-09T00:00:00.000Z,http://www.cancercenter.com/southeastern/,13,PROPRIETARY,25,NOT AVAILABLE,N
42,150754656,MAYO CLINIC HLTH SYSTM FRANCISCAN HLTHCARE SPARTA,310 W MAIN ST,SPARTA,WI,54656,CRITICAL ACCESS,25,MONROE,55081,USA,43.94422596,-90.81438359,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.dhs.wisconsin.gov/guide/hospital.htm,2018-08-13T00:00:00.000Z,IMAGERY/OTHER,2015-03-27T00:00:00.000Z,NOT AVAILABLE,55,NOT AVAILABLE,25,LEVEL IV,Y
43,151253226,WHEATON FRANCISCAN WI HEART SPINE AND ORTHO,10000 WEST BLUEMOUND ROAD,WAUWATOSA,WI,53226,GENERAL ACUTE CARE,40,MILWAUKEE,55079,USA,43.03581215,-88.03726582,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.dhs.wisconsin.gov/guide/hospital.htm,2018-08-13T00:00:00.000Z,IMAGERY/OTHER,2015-03-27T00:00:00.000Z,NOT AVAILABLE,55,NOT AVAILABLE,40,NOT AVAILABLE,N
44,152354971,RIPON MEDICAL CENTER,845 PARKSIDE ST,RIPON,WI,54971,CRITICAL ACCESS,18,FOND DU LAC,55039,USA,43.83486875,-88.81800698,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.dhs.wisconsin.gov/guide/hospital.htm,2018-08-13T00:00:00.000Z,IMAGERY/OTHER,2015-03-27T00:00:00.000Z,http://www.agnesian.com/locations/hospitals/ripon-medical-center,55,NOT AVAILABLE,18,LEVEL IV,Y
45,159171301,COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,6410 MASONIC DRIVE,ALEXANDRIA,LA,71301,GENERAL ACUTE CARE,,RAPIDES,22079,USA,31.25219156,-92.48198781,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2018-08-16T00:00:00.000Z,IMAGERY/OTHER,2015-05-30T00:00:00.000Z,NOT AVAILABLE,22,NOT AVAILABLE,,NOT AVAILABLE,N
46,159670605,LAKE AREA MEDICAL CENTER,4200 NELSON ROAD,LAKE CHARLES,LA,70605,GENERAL ACUTE CARE,,CALCASIEU,22019,USA,30.18113208,-93.25034955,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2018-08-16T00:00:00.000Z,IMAGERY/OTHER,2015-05-30T00:00:00.000Z,http://www.lakeareamc.com/Lake-Area-Medical-Center/home.aspx,22,NOT AVAILABLE,,NOT AVAILABLE,Y
47,160270505,SPECIALTY HOSPITAL,309 JACKSON STREET,MONROE,LA,70505,GENERAL ACUTE CARE,,OUACHITA,22073,USA,32.49982124,-92.11455423,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2018-08-16T00:00:00.000Z,IMAGERY/OTHER,2015-05-30T00:00:00.000Z,NOT AVAILABLE,22,NOT AVAILABLE,,NOT AVAILABLE,N
48,160970056,UNITED MEDICAL HEALTHWEST-NEW ORLEANS,3201 WALL BOULEVARD,GRETNA,LA,70056,REHABILITATION,,JEFFERSON,22051,USA,29.86597947,-90.03069185,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2018-08-16T00:00:00.000Z,IMAGERY/OTHER,2015-05-29T00:00:00.000Z,http://umrhospital.com/locations/new-orleans/,22,PROPRIETARY,,NOT AVAILABLE,N
49,161070071,BEACON BEHAVIORAL HOSPITAL,2471 LOUISIANA AVE,LUTCHER,LA,70071,PSYCHIATRIC,,ST. JAMES,22093,USA,30.04665434,-90.70017298,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2018-08-16T00:00:00.000Z,IMAGERY/OTHER,2015-05-29T00:00:00.000Z,http://beaconbh.com/,22,PROPRIETARY,,NOT AVAILABLE,Y
51,163170127,NEW ORLEANS EAST HOSPITAL,5620 READ BLVD,NEW ORLEANS,LA,70127,GENERAL ACUTE CARE,,ORLEANS,22071,USA,30.0289763,-89.97517048,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2018-08-16T00:00:00.000Z,IMAGERY/OTHER,2015-05-30T00:00:00.000Z,http://www.noehospital.org/main/intro.php,22,NOT AVAILABLE,,NOT AVAILABLE,Y
52,163570394,OCSHNER ST. ANNE GENERAL HOSPITAL,4608 HIGHWAY 1,RACELAND,LA,70394,GENERAL ACUTE CARE,38,LAFOURCHE,22057,USA,29.70267142,-90.5652539,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2018-08-16T00:00:00.000Z,IMAGERY/OTHER,2015-05-30T00:00:00.000Z,https://www.ochsner.org/locations/ochsner-st-anne/,22,NOT AVAILABLE,38,NOT AVAILABLE,Y
53,163670427,OUR LADY OF THE ANGELS HOSPITAL,433 PLAZA STREET,BOGALUSA,LA,70427,GENERAL ACUTE CARE,,WASHINGTON,22117,USA,30.7782294,-89.86934105,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2018-08-16T00:00:00.000Z,IMAGERY/OTHER,2015-05-30T00:00:00.000Z,NOT AVAILABLE,22,NOT AVAILABLE,,NOT AVAILABLE,N
54,164970748,FELICIANA FORENSIC FACILITY,4502 HWY 951,JACKSON,LA,70748,GENERAL ACUTE CARE,,EAST FELICIANA,22037,USA,30.83263569,-91.21066049,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2018-08-16T00:00:00.000Z,IMAGERY/OTHER,2016-02-25T00:00:00.000Z,http://new.dhh.louisiana.gov/index.cfm/directory/detail/219,22,GOVERNMENT - STATE,,NOT AVAILABLE,N
55,27,EVANS ARMY COMMUNITY HOSPITAL,1650 COCHRANE CIR,FORT CARSON,CO,80913,MILITARY,,EL PASO,8041,USA,38.71911428,-104.7970689,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.tricare.mil/mtf,2019-04-02T00:00:00.000Z,IMAGERY/OTHER,2015-07-24T00:00:00.000Z,http://evans.amedd.army.mil/,8,GOVERNMENT - FEDERAL,,NOT AVAILABLE,N
56,35,ROBERT E. BUSH NAVAL HOSPITAL,STURGIS ST,TWENTYNINE PALMS,CA,92278,MILITARY,,SAN BERNARDINO,6071,USA,34.22706647,-116.0487938,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.tricare.mil/mtf,2019-04-02T00:00:00.000Z,IMAGERY/OTHER,2015-07-24T00:00:00.000Z,http://www.med.navy.mil/sites/nhtp/Pages/default.aspx,6,GOVERNMENT - FEDERAL,,NOT AVAILABLE,Y
57,493703,VA CENTRAL CALIFORNIA HEALTH CARE SYSTEM,2615 E CLINTON AVE,FRESNO,CA,93703,MILITARY,,FRESNO,6019,USA,36.77325043,-119.7791451,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.va.gov/directory/guide/allstate.asp,2018-09-26T00:00:00.000Z,IMAGERY/OTHER,2015-05-13T00:00:00.000Z,http://www.fresno.va.gov/,6,GOVERNMENT - FEDERAL,,NOT AVAILABLE,N
58,13402908,VA MEDICAL CENTER - PROVIDENCE,830 CHALKSTONE AVE,PROVIDENCE,RI,2908,GENERAL ACUTE CARE,,PROVIDENCE,44007,USA,41.83213908,-71.43314954,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.va.gov/directory/guide/allstate.asp,2018-09-26T00:00:00.000Z,IMAGERY/OTHER,2015-05-26T00:00:00.000Z,http://www.providence.va.gov/,44,GOVERNMENT - FEDERAL,,NOT AVAILABLE,N
59,15954660,VA MEDICAL CENTER - TOMAH,500 E VETERANS ST,TOMAH,WI,54660,MILITARY,,MONROE,55081,USA,44.00308068,-90.49331901,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.va.gov/directory/guide/allstate.asp,2018-09-26T00:00:00.000Z,IMAGERY/OTHER,2015-05-29T00:00:00.000Z,http://www.tomah.va.gov/,55,GOVERNMENT - FEDERAL,,NOT AVAILABLE,Y
61,58796001,RESTPADD PSYCHIATRIC HEALTH FACILITY,2750 EUREKA WAY,REDDING,CA,96001,PSYCHIATRIC,16,SHASTA,6089,USA,40.58659539,-122.4119741,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY/OTHER,2016-02-11T00:00:00.000Z,http://www.restpadd.com/,6,PROPRIETARY,16,NOT AVAILABLE,N
62,59093436,THE CHAMPION CENTER,303 SOUTH C STREET,LOMPOC,CA,93436,REHABILITATION,34,SANTA BARBARA,6083,USA,34.63537161,-120.4521883,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY/OTHER,2016-02-17T00:00:00.000Z,https://championrecovery.com/,6,PROPRIETARY,34,NOT AVAILABLE,N
64,21891761,KAISER ONTARIO MEDICAL CENTER CAMPUS,2295 S. VINEYARD AVENUE,ONTARIO,CA,91761,GENERAL ACUTE CARE,176,SAN BERNARDINO,6071,USA,34.03207956,-117.6085993,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.kaiserpermanente.org,6,NON-PROFIT,176,NOT AVAILABLE,N
